Percentage served,Time in ms
0,231.222
1,231.317
2,231.317
3,232.855
4,232.855
5,234.006
6,234.006
7,237.584
8,237.584
9,237.991
10,237.991
11,240.091
12,240.091
13,240.434
14,240.434
15,242.891
16,242.891
17,243.392
18,243.392
19,246.900
20,246.900
21,249.968
22,249.968
23,252.032
24,252.032
25,253.895
26,253.895
27,253.981
28,253.981
29,257.546
30,257.546
31,258.325
32,258.325
33,258.931
34,258.931
35,259.071
36,259.071
37,259.520
38,259.520
39,259.764
40,259.764
41,259.979
42,259.979
43,260.397
44,260.397
45,260.859
46,260.859
47,261.109
48,261.109
49,263.473
50,263.473
51,264.909
52,264.909
53,265.910
54,265.910
55,267.601
56,267.601
57,271.192
58,271.192
59,272.816
60,272.816
61,272.905
62,272.905
63,272.949
64,272.949
65,273.417
66,273.417
67,276.585
68,276.585
69,281.857
70,281.857
71,282.337
72,282.337
73,282.511
74,282.511
75,282.846
76,282.846
77,288.660
78,288.660
79,305.461
80,305.461
81,310.671
82,310.671
83,334.719
84,334.719
85,383.963
86,383.963
87,386.354
88,386.354
89,407.127
90,407.127
91,469.947
92,469.947
93,547.946
94,547.946
95,641.421
96,641.421
97,943.611
98,943.611
99,0.000
